x,z,u
1.8078078,0.5,-0.017580207
1.8138138,0.5,-0.017763522
1.8198198,0.5,-0.017938193
1.8258259,0.5,-0.018104013
1.8318319,0.5,-0.018260684
1.8378379,0.5,-0.01840752
1.8438439,0.5,-0.018544074
1.8498499,0.5,-0.018670049
1.855856,0.5,-0.018784758
1.861862,0.5,-0.018887844
1.867868,0.5,-0.01897889
1.873874,0.5,-0.01905721
1.87988,0.5,-0.019122478
1.885886,0.5,-0.019174155
1.891892,0.5,-0.019211616
1.897898,0.5,-0.019234713
1.903904,0.5,-0.019242521
1.90991,0.5,-0.019234803
1.915916,0.5,-0.01921093
1.921922,0.5,-0.01917046
1.927928,0.5,-0.019112792
1.933934,0.5,-0.019037541
1.93994,0.5,-0.018943902
1.945946,0.5,-0.018831667
1.951952,0.5,-0.01870012
1.957958,0.5,-0.018549081
1.963964,0.5,-0.01837748
1.96997,0.5,-0.018185165
1.975976,0.5,-0.017971572
1.981982,0.5,-0.017735895
1.987988,0.5,-0.017478194
1.993994,0.5,-0.017197367
2.0,0.5,-0.016893115
2.006006,0.5,-0.016564991
2.012012,0.5,-0.0162124
2.018018,0.5,-0.015834745
2.024024,0.5,-0.01543149
2.03003,0.5,-0.015002426
2.036036,0.5,-0.014546629
2.042042,0.5,-0.014063831
2.048048,0.5,-0.013553586
2.054054,0.5,-0.013015147
2.06006,0.5,-0.012448128
2.066066,0.5,-0.011852201
2.072072,0.5,-0.01122671
2.078078,0.5,-0.010571208
2.084084,0.5,-0.00988498
2.09009,0.5,-0.009167906
2.096096,0.5,-0.008419301
2.102102,0.5,-0.007638838
2.108108,0.5,-0.006825682
2.1141143,0.5,-0.005980041
2.1201203,0.5,-0.0051008724
2.1261263,0.5,-0.0041879974
2.1321323,0.5,-0.00324082
2.1381383,0.5,-0.0022589527
2.1441443,0.5,-0.0012420677
2.1501503,0.5,-0.00018986687
2.1561563,0.5,0.00089854375
2.1621623,0.5,0.0020230152
2.1681683,0.5,0.0031844713
2.1741743,0.5,0.004383091
2.1801803,0.5,0.005618874
2.1861863,0.5,0.0068928637
2.1921923,0.5,0.008204941
2.1981983,0.5,0.009555582
2.2042043,0.5,0.010945354
2.2102103,0.5,0.012374405
2.2162163,0.5,0.013843123
2.2222223,0.5,0.015351776
2.2282283,0.5,0.016900662
2.2342343,0.5,0.01849011
2.2402403,0.5,0.020120684
2.2462463,0.5,0.021792386
2.2522523,0.5,0.023505542
2.2582583,0.5,0.025260482
2.2642643,0.5,0.027057353
2.2702703,0.5,0.028896634
2.2762764,0.5,0.030778263
2.2822824,0.5,0.032702688
2.2882884,0.5,0.03466997
2.2942944,0.5,0.03668082
2.3003004,0.5,0.038734827
2.3063064,0.5,0.040832344
2.3123124,0.5,0.0429737
2.3183184,0.5,0.045158897
2.3243244,0.5,0.047388498
2.3303304,0.5,0.049662087
2.3363364,0.5,0.05198029
2.3423424,0.5,0.05434299
2.3483484,0.5,0.056750182
2.3543544,0.5,0.059202377
2.3603604,0.5,0.061699454
2.3663664,0.5,0.06424159
2.3723724,0.5,0.066828966
2.3783784,0.5,0.069461614
2.3843844,0.5,0.07213953
2.3903904,0.5,0.07486281
2.3963964,0.5,0.07763162
2.4024024,0.5,0.080446154
2.4084084,0.5,0.08330643
2.4144144,0.5,0.08621243
2.4204204,0.5,0.089164436
2.4264264,0.5,0.09216243
2.4324324,0.5,0.0952068
2.4384384,0.5,0.09829745
2.4444444,0.5,0.1014345
2.4504504,0.5,0.10461834
2.4564564,0.5,0.107849
2.4624624,0.5,0.11112687
2.4684684,0.5,0.11445218
2.4744744,0.5,0.11782557
2.4804804,0.5,0.121246934
2.4864864,0.5,0.124717414
2.4924924,0.5,0.12823692
2.4984984,0.5,0.13180658
2.5045047,0.5,0.13542742
