x,y,z
0.673,0.0,-0.027582847
0.6745,0.0,-0.029295085
0.676,0.0,-0.030974403
0.6775,0.0,-0.03262127
0.679,0.0,-0.03423614
0.6805,0.0,-0.035819463
0.682,0.0,-0.037371684
0.6835,0.0,-0.038893223
0.685,0.0,-0.040384512
0.6865,0.0,-0.041845962
0.688,0.0,-0.04327798
0.6895,0.0,-0.044680964
0.691,0.0,-0.046055306
0.6925,0.0,-0.047401395
0.694,0.0,-0.048719604
0.6955,0.0,-0.050010305
0.697,0.0,-0.051273864
0.6985,0.0,-0.052510638
0.7,0.0,-0.05372098
0.7015,0.0,-0.05490524
0.703,0.0,-0.05606375
0.7045,0.0,-0.05719685
0.706,0.0,-0.058304872
0.7075,0.0,-0.05938813
0.709,0.0,-0.060446955
0.7105,0.0,-0.061481655
0.712,0.0,-0.062492535
0.7135,0.0,-0.06347991
0.715,0.0,-0.06444406
0.7165,0.0,-0.0653853
0.718,0.0,-0.06630391
0.7195,0.0,-0.067200184
0.721,0.0,-0.06807439
0.7225,0.0,-0.06892682
0.724,0.0,-0.069757745
0.7255,0.0,-0.07056742
0.727,0.0,-0.07135614
0.7285,0.0,-0.07212414
0.73,0.0,-0.07287169
0.7315,0.0,-0.073599055
0.733,0.0,-0.07430647
0.7345,0.0,-0.07499419
0.736,0.0,-0.07566247
0.7375,0.0,-0.076311536
0.739,0.0,-0.07694164
0.7405,0.0,-0.077553004
0.742,0.0,-0.07814588
0.7435,0.0,-0.07872048
0.745,0.0,-0.079277046
0.7465,0.0,-0.07981579
0.748,0.0,-0.08033694
0.7495,0.0,-0.08084072
0.751,0.0,-0.081327334
0.7525,0.0,-0.08179701
0.754,0.0,-0.08224995
0.7555,0.0,-0.082686365
0.757,0.0,-0.08310646
0.7585,0.0,-0.08351044
0.76,0.0,-0.083898515
0.7615,0.0,-0.08427087
0.763,0.0,-0.08462771
0.7645,0.0,-0.08496924
0.766,0.0,-0.08529564
0.7675,0.0,-0.0856071
0.769,0.0,-0.085903816
0.7705,0.0,-0.08618598
0.772,0.0,-0.08645376
0.7735,0.0,-0.08670735
0.775,0.0,-0.08694694
0.7765,0.0,-0.0871727
0.778,0.0,-0.087384805
0.7795,0.0,-0.08758343
0.781,0.0,-0.087768756
0.7825,0.0,-0.08794095
0.784,0.0,-0.088100195
0.7855,0.0,-0.08824664
0.787,0.0,-0.08838048
0.7885,0.0,-0.08850185
0.79,0.0,-0.088610925
0.7915,0.0,-0.08870788
0.793,0.0,-0.08879286
0.7945,0.0,-0.08886604
0.796,0.0,-0.08892756
0.7975,0.0,-0.0889776
0.799,0.0,-0.08901629
0.8005,0.0,-0.0890438
0.802,0.0,-0.089060284
0.8035,0.0,-0.08906589
0.805,0.0,-0.08906075
0.8065,0.0,-0.08904505
0.808,0.0,-0.0890189
0.8095,0.0,-0.08898247
0.811,0.0,-0.0889359
0.8125,0.0,-0.088879324
0.814,0.0,-0.088812895
0.8155,0.0,-0.08873675
0.817,0.0,-0.088651024
0.8185,0.0,-0.088555865
0.82,0.0,-0.08845141
0.8215,0.0,-0.08833779
0.823,0.0,-0.08821514
0.8245,0.0,-0.0880836
0.826,0.0,-0.0879433
0.8275,0.0,-0.08779437
0.829,0.0,-0.08763695
0.8305,0.0,-0.08747115
0.832,0.0,-0.08729713
0.8335,0.0,-0.08711498
0.835,0.0,-0.086924866
0.8365,0.0,-0.08672688
0.838,0.0,-0.08652117
0.8395,0.0,-0.08630786
0.841,0.0,-0.086087056
0.8425,0.0,-0.0858589
0.844,0.0,-0.08562349
0.8455,0.0,-0.085380964
0.847,0.0,-0.08513144
0.8485,0.0,-0.08487503
0.85,0.0,-0.084611855
0.8515,0.0,-0.08434203
0.853,0.0,-0.084065676
0.8545,0.0,-0.083782904
0.856,0.0,-0.08349383
0.8575,0.0,-0.08319856
0.859,0.0,-0.08289722
0.8605,0.0,-0.08258991
0.862,0.0,-0.08227675
0.8635,0.0,-0.08195784
0.865,0.0,-0.08163329
0.8665,0.0,-0.081303224
0.868,0.0,-0.08096773
0.8695,0.0,-0.08062693
0.871,0.0,-0.080280915
0.8725,0.0,-0.07992981
0.874,0.0,-0.0795737
0.8755,0.0,-0.079212695
0.877,0.0,-0.0788469
0.8785,0.0,-0.07847642
0.88,0.0,-0.07810136
0.8815,0.0,-0.077721804
0.883,0.0,-0.07733787
0.8845,0.0,-0.07694965
0.886,0.0,-0.07655725
0.8875,0.0,-0.07616075
0.889,0.0,-0.07576027
0.8905,0.0,-0.07535589
0.892,0.0,-0.07494771
0.8935,0.0,-0.07453583
0.895,0.0,-0.07412034
0.8965,0.0,-0.07370134
0.898,0.0,-0.07327892
0.8995,0.0,-0.07285316
0.901,0.0,-0.07242418
0.9025,0.0,-0.07199205
0.904,0.0,-0.07155686
0.9055,0.0,-0.07111871
0.907,0.0,-0.07067769
0.9085,0.0,-0.07023388
0.91,0.0,-0.069787376
0.9115,0.0,-0.06933826
0.913,0.0,-0.06888663
0.9145,0.0,-0.068432555
0.916,0.0,-0.06797613
0.9175,0.0,-0.067517444
0.919,0.0,-0.06705658
0.9205,0.0,-0.06659362
0.922,0.0,-0.06612864
0.9235,0.0,-0.065661736
0.925,0.0,-0.065192975
0.9265,0.0,-0.064722456
0.928,0.0,-0.06425025
0.9295,0.0,-0.06377644
0.931,0.0,-0.0633011
0.9325,0.0,-0.062824324
0.934,0.0,-0.06234617
0.9355,0.0,-0.061866734
0.937,0.0,-0.061386086
0.9385,0.0,-0.0609043
0.94,0.0,-0.060421463
0.9415,0.0,-0.05993764
0.943,0.0,-0.05945291
0.9445,0.0,-0.058967352
0.946,0.0,-0.058481034
0.9475,0.0,-0.057994034
0.949,0.0,-0.05750642
0.9505,0.0,-0.057018273
0.952,0.0,-0.056529656
0.9535,0.0,-0.05604065
0.955,0.0,-0.055551317
0.9565,0.0,-0.05506173
0.958,0.0,-0.054571964
0.9595,0.0,-0.054082084
0.961,0.0,-0.05359216
0.9625,0.0,-0.05310226
0.964,0.0,-0.05261245
0.9655,0.0,-0.052122798
0.967,0.0,-0.051633373
0.9685,0.0,-0.051144242
0.97,0.0,-0.050655466
0.9715,0.0,-0.050167114
0.973,0.0,-0.04967925
0.9745,0.0,-0.04919194
0.976,0.0,-0.048705243
0.9775,0.0,-0.048219226
0.979,0.0,-0.04773395
0.9805,0.0,-0.04724948
0.982,0.0,-0.046765875
0.9835,0.0,-0.046283197
0.985,0.0,-0.045801505
0.9865,0.0,-0.04532086
0.988,0.0,-0.044841327
0.9895,0.0,-0.044362962
0.991,0.0,-0.043885823
0.9925,0.0,-0.043409977
0.994,0.0,-0.042935506
0.9955,0.0,-0.042462435
0.997,0.0,-0.04199087
0.9985,0.0,-0.04152076
0.0015,0.0,-0.041520838
0.003,0.0,-0.041990943
0.0045,0.0,-0.042462513
0.006,0.0,-0.042935584
0.0075,0.0,-0.04341006
0.009,0.0,-0.04388591
0.0105,0.0,-0.044363044
0.012,0.0,-0.04484141
0.0135,0.0,-0.045320943
0.015,0.0,-0.045801584
0.0165,0.0,-0.046283275
0.018,0.0,-0.046765953
0.0195,0.0,-0.04724956
0.021,0.0,-0.04773403
0.0225,0.0,-0.048219305
0.024,0.0,-0.04870532
0.0255,0.0,-0.04919202
0.027,0.0,-0.049679328
0.0285,0.0,-0.05016719
0.03,0.0,-0.050655544
0.0315,0.0,-0.051144317
0.033,0.0,-0.05163345
0.0345,0.0,-0.052122876
0.036,0.0,-0.052612524
0.0375,0.0,-0.053102333
0.039,0.0,-0.053592235
